"","num_sims","times_elapsed","output_precision","mean_results"
"1",100,0.0824673175811768,0.0480679343823871,0.725
"2",110,0.0918686389923096,0.0361567078735369,0.72136363636
"3",121,0.0667867660522461,0.0358012384007629,0.728512396705
"4",133,0.0808632373809814,0.0453823892114113,0.727067669175
"5",146,0.0692870616912842,0.03369417500082,0.733561643825
"6",161,0.0567772388458252,0.0369112356309634,0.71739130435
"7",177,0.0702693462371826,0.0340515911756156,0.721468926565
"8",194,0.0612974166870117,0.0237263747287684,0.71572164949
"9",214,0.055689811706543,0.0324979051787529,0.71518691588
"10",235,0.0551509857177734,0.0216660878271509,0.720638297875
"11",259,0.064429759979248,0.0359934333670709,0.725096525105
"12",285,0.0556869506835938,0.0188532596679232,0.73631578948
"13",313,0.0564770698547363,0.0247236067238447,0.71277955272
"14",345,0.0551235675811768,0.0271354673312442,0.722318840585
"15",379,0.0648550987243652,0.0258588659352572,0.722823219
"16",417,0.066173791885376,0.0176668286484835,0.71270983213
"17",459,0.071397066116333,0.0144424458661362,0.724291939005
"18",505,0.0716202259063721,0.0201047720322481,0.730396039615
"19",555,0.0821070671081543,0.0215176494995955,0.72747747747
"20",611,0.0569164752960205,0.0180736141471825,0.714402618655
"21",672,0.0565271377563477,0.0187602845640387,0.72879464286
"22",740,0.0558021068572998,0.017589301582492,0.71695945946
"23",814,0.0658228397369385,0.0149680662300641,0.723402948395
"24",895,0.0592987537384033,0.0148727986547345,0.7230726257
"25",984,0.0567243099212646,0.0172606839996346,0.721036585365
"26",1083,0.0610241889953613,0.0127825355729545,0.721329639885
"27",1191,0.191723823547363,0.0131693725374804,0.71813602015
"28",1310,0.0592613220214844,0.0143312993756955,0.72259541985
"29",1442,0.061171293258667,0.013324712480842,0.72180998613
"30",1586,0.0569441318511963,0.0103957345071461,0.720365699875
"31",1744,0.0575423240661621,0.0130845016112641,0.72004013761
"32",1919,0.0686192512512207,0.010083180091875,0.72081813446
"33",2111,0.0578832626342773,0.00894753421959371,0.722240644235
"34",2322,0.0583670139312744,0.00961886696415343,0.72080103358
"35",2554,0.060828685760498,0.00954695000724494,0.7239624119
"36",2810,0.0677828788757324,0.00949998685118413,0.724519572955
"37",3091,0.0597832202911377,0.00869481994801401,0.725250727915
"38",3400,0.0706682205200195,0.00655475792152801,0.722470588235
"39",3740,0.0631008148193359,0.00630345150696971,0.719719251345
"40",4114,0.0712995529174805,0.00775389239683476,0.72046669908
"41",4525,0.0645196437835693,0.00814495185689229,0.722298342555
"42",4978,0.0746941566467285,0.00547767616862509,0.722217758135
"43",5476,0.0716283321380615,0.00686421786772295,0.719877647915
"44",6024,0.0803744792938232,0.00392925350504068,0.72336487384
"45",6626,0.0703372955322266,0.00464172748229344,0.719076365835
"46",7289,0.0733907222747803,0.00467705509241944,0.72148442858
"47",8017,0.0831818580627441,0.00340342248283523,0.722240239495
"48",8819,0.0748229026794434,0.00542929955649918,0.72228143781
"49",9701,0.0841803550720215,0.00387802112144228,0.721935882895
"50",10671,0.0800759792327881,0.00347785305631933,0.72116483929
"51",11739,0.092954158782959,0.00401380907544159,0.72081949059
"52",12912,0.0856814384460449,0.00326240869523288,0.72110052664
"53",14204,0.0926651954650879,0.00331418731614888,0.721286257395
"54",15624,0.125424385070801,0.00329137521943503,0.72199820789
"55",17187,0.118453741073608,0.00319400587485743,0.721106068535
"56",18905,0.112350940704346,0.00303312228017133,0.72083046813
"57",20796,0.11345648765564,0.00333137153919349,0.7226317561
"58",22876,0.117799282073975,0.00270712282486402,0.720082182195
"59",25163,0.115299463272095,0.00314842956427552,0.723431228385
"60",27680,0.128450632095337,0.00311466738976863,0.721557080925
"61",30448,0.140908002853394,0.00260719513441026,0.72022136101
"62",33492,0.150710105895996,0.00240435979229251,0.7224590947
"63",36842,0.175675392150879,0.00223868423542146,0.722065848765
"64",40526,0.167292356491089,0.00208581302840319,0.72084587673
"65",44579,0.172384977340698,0.00163024819497329,0.72162901815
"66",49037,0.207932472229004,0.0024802363587188,0.72200277341
"67",53940,0.312192916870117,0.00154334087320482,0.721491472005
"68",59334,0.414118051528931,0.00187829398221133,0.721341052355
"69",65268,0.329317092895508,0.00205032991703862,0.721266164115
"70",71795,0.325819730758667,0.0016465360342437,0.72090396266
"71",78974,0.32736349105835,0.00112468930218868,0.72175716058
"72",86872,0.364351511001587,0.0012165012032679,0.72104763331
"73",95559,0.329375743865967,0.0015031896391731,0.720786634435
"74",105115,0.499083995819092,0.00164761168159944,0.7210512296
"75",115626,0.450772523880005,0.00110655363560242,0.720990088735
"76",127189,0.526930809020996,0.00139650834561094,0.72169841731
"77",139908,0.45374870300293,0.00116857730436848,0.72093661548
"78",153899,0.617507219314575,0.00111559136915565,0.721370509225
"79",169289,0.5391526222229,0.00124761447462804,0.721130138395
"80",186218,0.747938871383667,0.00126482430322169,0.721204985555
"81",204840,0.937419414520264,0.000851056340556202,0.72137351104
"82",225324,0.855191707611084,0.000819959678096087,0.721203688905
"83",247856,0.867055654525757,0.000876322902989101,0.721423528165
"84",272642,0.986620187759399,0.000876737270411133,0.72137876776
"85",299906,1.22144961357117,0.000879471287302581,0.721246490565
"86",329896,1.34330248832703,0.000639612883942025,0.72130595703
"87",362886,1.58140110969543,0.000678080178253748,0.721309722615
"88",399175,1.57596611976624,0.000705469591217997,0.721172543365
"89",439092,1.86217427253723,0.00053305335817396,0.721269346745
"90",483002,1.78787136077881,0.000555825481832572,0.72117527465
"91",531302,1.94640135765076,0.000477063734838433,0.72144392455
"92",584432,2.36933207511902,0.000645103121981258,0.72143534235
"93",642875,2.29878258705139,0.000644163399871567,0.72146855921
"94",707163,2.86936068534851,0.000704362017467921,0.72126235394
"95",777879,2.44017839431763,0.000495935765911018,0.721479304615
"96",855667,2.71211433410645,0.000504228860203397,0.72132178756
"97",941234,3.16253733634949,0.000536845622928129,0.721175127535
"98",1035357,3.63631153106689,0.000380056052218297,0.72143941654
"99",1138893,3.93251991271973,0.000357397138863286,0.72136535215
"100",1252782,4.01685261726379,0.000270866433117927,0.721317435915
"101",1378061,4.81013083457947,0.000254347640387159,0.72134346738
"102",1515867,5.18420696258545,0.000340268457174282,0.721215944405
"103",1667454,5.44570922851562,0.000410020305834865,0.721441131215
"104",1834199,6.07388353347778,0.000396103640758159,0.72134035074
"105",2017619,6.36556553840637,0.000336736165682195,0.72123701254
"106",2219381,6.30853724479675,0.000263451530082244,0.721459451975
"107",2441319,7.93956160545349,0.000302066115825139,0.72133316047
"108",2685451,8.10661697387695,0.000218225480756694,0.72138419208
"109",2953996,9.35091114044189,0.000218939120701839,0.7213299544
"110",3249396,10.1782331466675,0.000236373301695268,0.721370248505
"111",3574335,10.858067035675,0.000190419017634885,0.72133589885
"112",3931769,11.8781006336212,0.00024838394325402,0.72132271759
"113",4324946,14.1806507110596,0.000202068442907271,0.72135965397
"114",4757441,14.4903030395508,0.000208753849701945,0.721326286545
"115",5233185,15.9232234954834,0.000202805054882033,0.72135361163
"116",5756503,17.690890789032,0.000199972302013607,0.72132370991
"117",6332154,18.6276903152466,0.000177183055391584,0.721380046975
"118",6965369,21.0398163795471,0.00014379878447031,0.72136474751
"119",7661906,23.1235022544861,0.000146530598911602,0.72138333465
"120",8428097,26.4431467056274,0.000135169993204151,0.72137010882
"121",9270906,29.2656273841858,0.00012606421172216,0.721369265315
"122",10197997,31.6791951656342,0.00015497768780212,0.72135402178
"123",11217797,34.7864382266998,0.000110592544938977,0.72138067751
"124",12339577,37.4717502593994,0.000166288744664478,0.72134315058
"125",13573534,40.4414312839508,0.000121743174510737,0.72137707837
"126",14930888,43.9937191009521,0.00011869127618233,0.721293626335
